2009-04-09 00:00 - JobOrganizer - INFO: ========================================
2009-04-09 00:00 - JobOrganizer - INFO: JobOrganizer in init
2009-04-09 00:00 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-09 00:00 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-09 00:00 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-09 00:00 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-09 00:00 - JobOrganizer - INFO: ========================================
2009-04-09 00:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:10 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 00:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:10 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 01:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-09 02:56 - JobOrganizer - INFO: Updating jobInformation list
