2009-04-18 00:01 - JobOrganizer - INFO: ========================================
2009-04-18 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-04-18 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-18 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-18 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-18 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-18 00:01 - JobOrganizer - INFO: ========================================
2009-04-18 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 01:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 02:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 02:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 02:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 02:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-18 02:08 - JobOrganizer - INFO: Updating jobInformation list
