2009-05-05 00:01 - JobOrganizer - INFO: ========================================
2009-05-05 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-05-05 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-05-05 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-05-05 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-05-05 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-05-05 00:01 - JobOrganizer - INFO: ========================================
2009-05-05 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 01:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 02:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 03:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 04:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 05:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 06:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 07:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 08:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 09:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-05 09:03 - JobOrganizer - INFO: Updating jobInformation list
