2009-04-02 19:43 - JobOrganizer - INFO: ========================================
2009-04-02 19:43 - JobOrganizer - INFO: JobOrganizer in init
2009-04-02 19:43 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-02 19:43 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-02 19:43 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-02 19:43 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-02 19:43 - JobOrganizer - INFO: ========================================
2009-04-02 19:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:55 - JobOrganizer - INFO: validate job: False
2009-04-02 19:55 - JobOrganizer - INFO: jobInfo.validation: NONE
2009-04-02 19:55 - JobOrganizer - INFO: 105072_CBNT added to jobInformation list
2009-04-02 19:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 19:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 20:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:10 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 21:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 22:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-02 22:02 - JobOrganizer - INFO: Updating jobInformation list
