2009-05-12 00:01 - JobOrganizer - INFO: ========================================
2009-05-12 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-05-12 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-05-12 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-05-12 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-05-12 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-05-12 00:01 - JobOrganizer - INFO: ========================================
2009-05-12 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 01:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 02:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-12 03:28 - JobOrganizer - INFO: Updating jobInformation list
